course,total_races,avg_prize,median_prize,total_prize_pool,races_with_prize,avg_field_size,median_field_size,min_field_size,max_field_size,first_race_date,last_race_date,primary_surface,most_common_distance_band,prize_data_coverage,races_Class 1,races_Class 2,races_Class 3,races_Class 4,races_Class 5,races_Class 6,races_Class 7,high_quality_races,tier,favorite_win_rate,field_size_std
Wolverhampton,6884,4070.0321595698297,3428.57,28005891.29,6881,9.25392213829169,9.0,2,13,2015-01-02,2025-12-15,All-Weather,Mile,100.0,11,201,222,789,2553,3066,42,212,Major,34.14,2.2759040142600435
Lingfield,5535,5529.695301879971,3428.57,30590274.41,5532,8.584823848238482,9.0,1,17,2015-01-03,2025-12-15,All-Weather,Mile,99.9,136,245,311,564,2191,2075,13,381,Major,35.01,2.5722633431994537
Kempton,4858,5262.5922178667215,3881.4,25507784.48,4847,9.999382461918485,10.0,2,16,2015-01-07,2025-12-10,All-Weather,Mile,99.8,76,234,283,1150,1847,1205,63,310,Major,39.07,2.554934756409468
Newcastle,4274,5904.4379733208525,3752.02,25229663.46,4273,9.579550772110435,9.0,2,20,2015-04-11,2025-12-16,All-Weather,Mile,100.0,36,212,218,738,1549,1500,21,248,Major,33.9,2.8420241094145253
Chelmsford,4217,5833.621588319088,4346.99,24571214.13,4212,8.776144178325824,9.0,2,16,2015-01-11,2025-12-11,All-Weather,Mile,99.9,17,250,287,885,1265,1451,62,267,Major,33.01,2.682286052748899
Southwell,3494,4436.57411579249,3510.0,15479207.09,3489,9.064682312535776,9.0,2,14,2015-01-01,2025-12-12,All-Weather,Mile,99.9,6,64,177,468,1308,1462,9,70,Major,29.68,2.620985023930433
Windsor,1919,5553.945349322211,4187.2,10652467.18,1918,9.177696717040124,9.0,2,16,2015-04-13,2025-09-08,Turf,Sprint,99.9,43,71,164,473,901,267,0,114,Major,41.22,2.9490287030994717
Doncaster,1849,14490.450092091009,5253.115,26749370.87,1846,9.818820984315847,9.0,2,23,2015-03-28,2025-11-08,Turf,Mile,99.8,167,279,250,416,651,86,0,446,Premium,35.64,3.9811722091556616
Haydock,1712,11958.485262850467,5933.55,20472926.77,1712,8.582359813084112,8.0,2,17,2015-04-25,2025-10-17,Turf,Mile,100.0,143,193,246,574,553,3,0,336,Premium,37.85,2.8790530363206046
Nottingham,1605,5112.786639650873,3881.4,8200909.7700000005,1604,8.946417445482867,9.0,3,17,2015-04-08,2025-10-29,Turf,Sprint,99.9,27,46,131,303,761,337,0,73,Major,37.88,2.908988553035312
Yarmouth,1587,4852.353495575221,3768.48,7676423.23,1582,8.325771896660365,8.0,2,16,2015-08-30,2025-10-21,Turf,Mile,99.7,13,47,84,371,533,539,0,60,Major,40.33,2.7671938624306773
Newmarket,1532,30346.970340983607,12885.0,46279129.77,1525,9.76958224543081,9.0,2,34,2015-04-15,2025-11-01,Turf,Mile,99.5,438,340,229,410,113,2,0,778,Premium,37.73,4.276503217947311
Bath,1525,4338.096872536137,3428.57,6602583.44,1522,8.538360655737705,8.0,2,18,2015-04-17,2025-10-30,Turf,Sprint,99.8,18,24,51,248,544,640,0,42,Major,34.62,2.985859709225372
Brighton,1484,3543.338059299191,3234.5,5258313.68,1484,7.590970350404312,7.0,2,16,2015-04-21,2025-10-16,Turf,Mile,100.0,0,1,10,162,516,795,0,1,Major,31.87,2.6082393183274415
Beverley,1452,4894.982424242424,4004.0,7107514.4799999995,1452,9.070936639118457,9.0,2,17,2015-04-15,2025-09-23,Turf,Mile,100.0,12,39,53,244,687,417,0,51,Major,36.43,2.6964117778358374
Newmarket (July),1438,15590.442334494774,6700.2,22372284.75,1435,8.219749652294855,8.0,2,20,2015-06-19,2025-08-23,Turf,Mile,99.8,160,232,262,527,257,0,0,392,Major,41.1,2.9834336270963644
Newbury,1399,14398.674157706093,6469.0,20086150.45,1395,10.030736240171551,10.0,3,26,2015-04-17,2025-10-25,Turf,Mile,99.7,220,188,130,520,341,0,0,408,Major,44.46,3.520192959262066
Leicester,1398,4858.220544022906,4075.47,6786934.1,1397,8.597281831187411,8.0,2,18,2015-04-10,2025-10-28,Turf,Mile,99.9,7,36,92,397,542,324,0,43,Major,37.05,2.8947499772681073
Goodwood,1391,30609.717622478387,11256.05,42486288.06,1388,9.248741912293314,9.0,2,28,2015-05-02,2025-10-12,Turf,Middle,99.8,258,348,212,337,236,0,0,606,Premium,34.36,3.786566115684593
Ayr,1383,6748.071279826464,3996.0,9332582.58,1383,9.404916847433116,9.0,2,25,2015-04-27,2025-10-09,Turf,Mile,100.0,57,85,110,272,401,458,0,142,Major,30.51,3.5833315842549167
Redcar,1374,5194.894642857143,3663.8,7127395.45,1372,10.256186317321689,10.0,2,23,2015-04-06,2025-11-04,Turf,Mile,99.9,22,21,77,221,603,430,0,43,Major,35.74,3.2456842785094073
Hamilton,1321,5777.362228961335,4140.16,7620340.78,1319,7.993186979560939,8.0,2,15,2015-05-03,2025-09-29,Turf,Sprint,99.8,11,60,82,341,446,381,0,71,Major,31.79,2.566824869605302
York,1310,41104.691749427046,15562.5,53806041.5,1309,12.064885496183207,11.0,3,22,2015-05-13,2025-10-11,Turf,Sprint,99.9,324,403,324,250,9,0,0,727,Premium,27.94,4.649312584856708
Ascot,1284,76013.80001558847,28012.5,97525705.42,1283,11.786604361370717,10.0,2,30,2015-04-29,2025-10-18,Turf,Mile,99.9,444,394,253,186,7,0,0,838,Premium,28.89,5.59057284637243
Catterick,1284,4086.245604053001,3780.0,5242653.11,1283,9.016355140186915,9.0,2,15,2015-04-08,2025-10-28,Turf,Sprint,99.9,0,16,20,208,494,545,1,16,Major,29.52,2.718639873311795
Thirsk,1241,5113.4696693548385,4187.2,6340702.39,1240,10.35132957292506,10.0,3,20,2015-04-18,2025-09-15,Turf,Sprint,99.9,0,26,141,323,445,306,0,26,Major,35.21,3.2842267595629817
Musselburgh,1203,6227.120781379884,3663.8,7491226.3,1203,8.187032418952619,8.0,3,17,2015-04-03,2025-11-05,Turf,Mile,100.0,9,71,118,214,336,455,0,80,Major,29.43,2.5517795339976965
Ripon,1198,6114.14220735786,4710.6,7312514.08,1196,8.392320534223707,8.0,2,20,2015-04-16,2025-09-27,Turf,Sprint,99.8,11,96,132,283,486,190,0,107,Major,37.06,2.8708789575787397
Pontefract,1185,6596.689940878378,4528.3,7810480.89,1184,8.49620253164557,8.0,3,17,2015-04-07,2025-10-20,Turf,Sprint,99.9,54,78,122,321,554,56,0,132,Major,32.83,2.709504185624977
Salisbury,1128,6475.1764533333335,4590.0,7284573.51,1125,8.444148936170214,8.0,2,18,2015-05-03,2025-10-02,Turf,Mile,99.7,52,72,99,358,377,170,0,124,Major,45.39,2.6842868849522143
Chepstow,1100,3963.3075978161964,3428.57,4355675.05,1099,8.501818181818182,8.0,2,17,2015-05-01,2025-09-02,Turf,Mile,99.9,0,8,13,130,496,453,0,8,Major,32.64,2.7542664998785766
Sandown,1080,15111.992606679034,6280.8,16290728.03,1078,8.393518518518519,8.0,2,16,2015-04-24,2025-09-17,Turf,Mile,99.8,188,82,162,377,271,0,0,270,Premium,34.91,2.5978094838879104
Chester,1064,13345.450225776105,7756.76,14186213.59,1063,8.539473684210526,8.0,3,17,2015-05-06,2025-09-20,Turf,Sprint,99.9,92,200,206,506,60,0,0,292,Premium,30.55,2.5311497031243873
Carlisle,897,4912.272530657748,4187.2,4406308.46,897,9.00891861761427,9.0,2,17,2015-05-25,2025-09-09,Turf,Sprint,100.0,10,6,18,222,455,186,0,16,Major,34.34,2.6592008086856014
Epsom,711,31437.657023977437,6239.0,22289298.830000002,709,8.367088607594937,8.0,3,20,2015-04-22,2025-09-28,Turf,Mile,99.7,73,109,73,227,190,39,0,182,Premium,28.83,2.998870649732624
Ffos Las,544,3844.468823529412,3564.0,2091391.04,544,7.351102941176471,7.0,3,16,2015-07-21,2025-09-28,Turf,Mile,100.0,0,2,13,82,233,214,0,2,Major,34.56,2.483811059973925
Wetherby,231,4384.765367965369,4075.47,1012880.8,231,9.731601731601732,10.0,3,16,2015-04-26,2025-06-19,Turf,Mile,100.0,0,1,1,48,98,83,0,1,Major,41.99,2.8294716877885504
