Course,Count
Wolverhampton,87
Southwell,79
Lingfield Park,74
Newcastle,70
Kempton Park,64
Newmarket,38
Chelmsford City,37
Doncaster,35
Newbury,31
Chepstow,29
Ayr,29
Haydock Park,29
Ffos Las,29
Leicester,29
Catterick Bridge,27
Windsor,26
Musselburgh,26
Ascot,26
Yarmouth,24
Uttoxeter,23
Carlisle,23
Sandown Park,23
Market Rasen,21
Brighton,21
Bath,20
Nottingham,20
Fontwell Park,20
Beverley,19
Worcester,19
Goodwood,19
Wetherby,18
Hamilton Park,18
York,18
Redcar,18
Newton Abbot,18
Warwick,18
Huntingdon,18
Exeter,17
Pontefract,17
Stratford-On-Avon,17
Plumpton,16
Cheltenham,16
Wincanton,16
Ripon,16
Thirsk,16
Sedgefield,16
Salisbury,15
Ludlow,15
Chester,15
Hexham,15
Hereford,15
Taunton,14
Kelso,14
Bangor-On-Dee,14
Perth,12
Fakenham,11
Epsom Downs,11
Cartmel,9
Aintree,8
