course,tier,primary_surface,total_races,median_prize,high_class_races
Ascot,Premium,Turf,1284,5070.0,10881
Ayr,Major,Turf,1383,858.9,1926
Bath,Major,Turf,1525,697.45,483
Beverley,Major,Turf,1452,754.4,392
Brighton,Major,Turf,1484,634.0,13
Carlisle,Major,Turf,897,797.55,135
Catterick,Major,Turf,1284,673.75,174
Chelmsford,Major,All-Weather,4217,858.9,2057
Chepstow,Major,Turf,1100,673.75,83
Chester,Premium,Turf,1064,1232.0,2481
Doncaster,Premium,Turf,1849,1347.5,4703
Epsom,Premium,Turf,711,1398.0,1863
Ffos Las,Major,Turf,544,765.2,22
Goodwood,Premium,Turf,1391,2454.0,6005
Hamilton,Major,Turf,1321,858.9,558
Haydock,Premium,Turf,1712,1443.0,3074
Kempton,Major,All-Weather,4858,721.5,2611
Leicester,Major,Turf,1398,827.75,316
Lingfield,Major,All-Weather,5535,699.39,3164
Musselburgh,Major,Turf,1203,827.75,728
Newbury,Major,Turf,1399,1540.0,3849
Newcastle,Major,All-Weather,4274,760.74,2550
Newmarket,Premium,Turf,1532,2680.0,7837
Newmarket (July),Major,Turf,1438,1585.0,3569
Nottingham,Major,Turf,1605,797.55,623
Pontefract,Major,Turf,1185,962.5,994
Redcar,Major,Turf,1374,770.0,521
Ripon,Major,Turf,1198,938.32,1048
Salisbury,Major,Turf,1128,1046.1,925
Sandown,Premium,Turf,1080,1393.6,2145
Southwell,Major,All-Weather,3494,699.39,588
Thirsk,Major,Turf,1241,858.9,307
Wetherby,Major,Turf,231,769.6,15
Windsor,Major,Turf,1919,866.25,882
Wolverhampton,Major,All-Weather,6884,604.0,1623
Yarmouth,Major,Turf,1587,760.8,484
York,Premium,Turf,1310,3362.5,8644
