Date,Weekday,Course,Time,CourseGroup,Region,Code,Surface,Type
2025-12-17,Wednesday,Kempton Park,Evening,Jockey Club Racecourses Limited,South,Flat,AWT,Racecourse/Normal
2025-12-17,Wednesday,Lingfield Park,Afternoon,Arena Racing Corporation Limited,South,Flat,AWT,Racecourse/Normal
2025-12-18,Thursday,Chelmsford City,Evening,Independent,South,Flat,AWT,Racecourse/Normal
2025-12-18,Thursday,Southwell,Afternoon,Arena Racing Corporation Limited,Midlands,Flat,AWT,Racecourse/Normal
2025-12-19,Friday,Newcastle,Evening,Arena Racing Corporation Limited,North,Flat,AWT,Racecourse/Normal
2025-12-19,Friday,Southwell,Afternoon,Arena Racing Corporation Limited,Midlands,Flat,AWT,Racecourse/Normal
2025-12-20,Saturday,Newcastle,Evening,Arena Racing Corporation Limited,North,Flat,AWT,Racecourse/Normal
2025-12-20,Saturday,Wolverhampton,Morning,Arena Racing Corporation Limited,Midlands,Flat,AWT,Racecourse/Normal
2025-12-22,Monday,Lingfield Park,Afternoon,Arena Racing Corporation Limited,South,Flat,AWT,Racecourse/Normal
2025-12-22,Monday,Wolverhampton,Evening,Arena Racing Corporation Limited,Midlands,Flat,AWT,Racecourse/Normal
2025-12-26,Friday,Wolverhampton,Afternoon,Arena Racing Corporation Limited,Midlands,Flat,AWT,Racecourse/Normal
2025-12-27,Saturday,Wolverhampton,Evening,Arena Racing Corporation Limited,Midlands,Flat,AWT,Racecourse/Normal
2025-12-28,Sunday,Southwell,Afternoon,Arena Racing Corporation Limited,Midlands,Flat,AWT,Racecourse/Normal
2025-12-29,Monday,Newcastle,Evening,Arena Racing Corporation Limited,North,Flat,AWT,Racecourse/Normal
2025-12-30,Tuesday,Wolverhampton,Evening,Arena Racing Corporation Limited,Midlands,Flat,AWT,Racecourse/Normal
2025-12-31,Wednesday,Lingfield Park,Afternoon,Arena Racing Corporation Limited,South,Flat,AWT,Racecourse/Normal
